asn=22397	id=1   	TSCH	stats: {"idle_listen":1980,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":10,"tx_data":23,"tx_data_rx_ack":34}
asn=22397	id=2   	RPL	warning: no acceptable parent
asn=22397	id=2   	TSCH	stats: {"idle_listen":2031,"channel_scan":0,"rx_data":5,"rx_data_tx_ack":5,"tx_data":0,"tx_data_rx_ack":36}
asn=22397	id=-1  	Mobility	update positions
asn=22397	id=2   	Mobility	at 240.006 pos is 265.007
asn=22527	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=22527	id=1   	Node	tx done to=2 numtx=3 acked=false
asn=22630	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=22765	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=22765	id=1   	Node	tx done to=2 numtx=4 acked=false
asn=22927	id=2   	RPL	DIS output to -1
asn=22927	id=2   	RPL	warning: no acceptable parent
asn=22935	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=22935	id=1   	Node	tx done to=2 numtx=5 acked=false
asn=22940	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=22940	id=2   	RPL	warning: no acceptable parent
asn=23224	id=-1  	link_model	path_loss_dbm = 102.9334515713426, current bitrate = 250, current distance is 265.00687720004447
asn=23224	id=1   	Node	tx done to=2 numtx=6 acked=false
asn=23330	id=-1  	Mobility	update positions
asn=23330	id=2   	Mobility	at 250.004 pos is 276.005
asn=23510	id=1   	App	generate a packet, seqnum=8 for=2
asn=23581	id=-1  	link_model	path_loss_dbm = 103.35727586849946, current bitrate = 250, current distance is 276.0047080000467
asn=23581	id=1   	Node	tx done to=2 numtx=7 acked=false
